sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
54,Vadodara,390020,3,3,5534,Akota,Flat,Unfurnished,Ready to Move,Resale,Other,3.0,Other,2801
55,Vadodara,390020,2,3,7027,Akota,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,925
56,Vadodara,390020,2,3,4910,Akota,Flat,Furnished,Ready to Move,Resale,Other,3.0,Freehold,1000
57,Vadodara,390020,3,3,4133,Akota,House,Furnished,Unknown,Resale,East,2.0,Freehold,1500
58,Vadodara,390020,3,3,5938,Akota,Flat,Furnished,Ready to Move,Resale,West,3.0,Freehold,1600
59,Vadodara,390020,3,3,7778,Akota,Flat,Semi-Furnished,Ready to Move,Resale,North - East,1.0,Freehold,1350
60,Vadodara,390020,3,3,5399,Akota,Flat,Unfurnished,Unknown,New,North,3.0,Freehold,1530
61,Vadodara,390020,4,4,10000,Akota,Flat,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,1800
62,Vadodara,390020,4,4,10605,Akota,Flat,Furnished,Ready to Move,Resale,South - East,3.0,Freehold,2593
63,Vadodara,390020,2,4,3864,Akota,Flat,Semi-Furnished,Ready to Move,Resale,Other,4.0,Freehold,2200
64,Vadodara,390020,4,4,12273,Akota,House,Furnished,Ready to Move,Resale,North - East,,Freehold,1100
65,Vadodara,390020,4,4,5952,Akota,Flat,Furnished,Ready to Move,Resale,Other,3.0,Other,2100
66,Vadodara,390020,4,4,10000,Akota,House,Furnished,Ready to Move,Resale,Other,,Other,1600
67,Vadodara,390020,2,4,7261,Akota,House,Furnished,Ready to Move,Resale,West,,Freehold,1150
68,Vadodara,390020,4,4,7500,Akota,Flat,Unfurnished,Ready to Move,New,East,2.0,Freehold,2200
69,Vadodara,390020,4,4,7182,Akota,Flat,Unfurnished,Ready to Move,New,North,2.0,Freehold,1810
70,Vadodara,390020,5,5,10000,Akota,Villa,Furnished,Ready to Move,Resale,East,,Freehold,6000
