sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
2006,Vadodara,390022,2,2,2639,New VIP Road Baikunth,Apartment,Furnished,Ready to Move,Resale,Unknown,1.0,Freehold,1080
2007,Vadodara,390022,3,3,5882,New VIP Road Baikunth,Apartment,Furnished,Ready to Move,Resale,Unknown,5.0,Unknown,935
2008,Vadodara,390022,3,3,8235,New VIP Road Baikunth,House,Unfurnished,Ready to Move,Resale,East,1.0,Freehold,850
2009,Vadodara,390022,1,2,3231,New VIP Road Baikunth,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,650
2010,Vadodara,390022,3,3,4125,New VIP Road Baikunth,Apartment,Semi-Furnished,Ready to Move,Resale,West,2.0,Freehold,800
2011,Vadodara,390022,3,3,3750,New VIP Road Baikunth,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,800
2012,Vadodara,390022,2,2,7205,New VIP Road Baikunth,Villa,Semi-Furnished,Ready to Move,Resale,North - West,,Freehold,1388
2013,Vadodara,390022,2,2,3182,New VIP Road Baikunth,Apartment,Unfurnished,Ready to Move,Resale,East,1.0,Freehold,1100
2014,Vadodara,390022,2,3,4222,New VIP Road Baikunth,Apartment,Unfurnished,Ready to Move,Resale,Unknown,4.0,Unknown,900
2015,Vadodara,390022,2,2,4667,New VIP Road Baikunth,Builder Floor,Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,750
2016,Vadodara,390022,2,2,3103,New VIP Road Baikunth,Apartment,Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,1160
2017,Vadodara,390022,1,1,3162,New VIP Road Baikunth,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,585
2018,Vadodara,390022,3,3,5589,Harni,Flat,Unfurnished,Ready to Move,New Property,Unknown,,Unknown,1163
2019,Vadodara,390022,3,3,5159,Harni,Flat,Unfurnished,Ready to Move,New Property,Unknown,,Unknown,1260
2020,Vadodara,390022,3,3,6614,Harni,Flat,Unfurnished,Poss. by Nov &#x27;26,New Property,Unknown,,Unknown,1512
2021,Vadodara,390022,3,3,7652,Harni,Flat,Semi-Furnished,Ready to Move,New Property,East,1.0,Freehold,1150
2022,Vadodara,390022,3,3,5233,Harni,Flat,Unfurnished,Ready to Move,New Property,Unknown,2.0,Unknown,1242
2023,Vadodara,390022,3,3,5285,Harni,Flat,Unfurnished,Ready to Move,New Property,Unknown,,Unknown,1230
2024,Vadodara,390022,3,3,5462,Harni,Flat,Unfurnished,Ready to Move,New Property,Unknown,,Unknown,1190
2025,Vadodara,390022,3,3,6548,Harni,Flat,Unfurnished,Poss. by Nov &#x27;26,New Property,Unknown,,Unknown,1512
2026,Vadodara,390022,3,3,5365,Harni,Flat,Unfurnished,Ready to Move,Resale,East,6.0,Unknown,1286
2027,Vadodara,390022,2,2,7000,Harni,Flat,Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,700
2028,Vadodara,390022,3,3,7619,Harni,Flat,Furnished,Ready to Move,Resale,North - East,4.0,Freehold,1050
2029,Vadodara,390022,3,3,5599,Harni,Flat,Unfurnished,Ready to Move,Resale,Unknown,6.0,Unknown,1286
2030,Vadodara,390022,3,3,5268,Sangam Char Rasta,Flat,Unfurnished,Ready to Move,Resale,Unknown,10.0,Freehold,1993
2031,Vadodara,390022,2,2,3590,Harni,Flat,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,975
2032,Vadodara,390022,2,2,6696,Harni,Flat,Furnished,Ready to Move,Resale,North,4.0,Freehold,672
2033,Vadodara,390022,4,4,4950,Harni,Flat,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,2000
2034,Vadodara,390022,3,3,7500,Harni Road,Flat,Furnished,Ready to Move,Resale,South,6.0,Unknown,1200
2035,Vadodara,390022,2,2,2455,New Kareli Baug,Flat,Unfurnished,Ready to Move,Resale,East,4.0,Co-operative Society,1100
2036,Vadodara,390022,2,2,5921,Khodiyar Nagar,Flat,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,760
2037,Vadodara,390022,2,2,3476,Khodiyar Nagar,Flat,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,1050
2038,Vadodara,390022,2,2,3750,Khodiyar Nagar,Flat,Furnished,Ready to Move,Resale,Unknown,2.0,Freehold,1120
2039,Vadodara,390022,2,2,3600,Harni,Flat,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,1000
